proxy_age,proxy_age_status,prob_female,prob_male,prob_female_age,prob_male_age,proxy_gender,proxy_gender_status,proxy_gender_method,gender_threshold,bisgAian,bisgApi,bisgBlack,bisgHispanic,bisgMulti,bisgWhite,prob_minority,proxy_minority,proxy_race,proxy_race_status,proxy_race_method,race_threshold,bifsgAian,bifsgApi,bifsgBlack,bifsgHispanic,bifsgMulti,bifsgWhite,age_actual
<62,Unprotected,0.996690753852853,0.003309246147146992,,,female,Protected,firstname_age,0.8,0.0024614592506659264,0.0,0.000337068873440681,0.00040473900692168164,0.006281273248700379,0.9905154596202712,0.009484540379728668,low,White,Unprotected,bisg,0.8,,,,,,,37.0
<62,Unprotected,1.0,0.0,,,female,Protected,firstname_age,0.8,0.008252997864637145,0.0007361820397495909,0.00042323891556672713,0.0012760270790300693,0.002902500778855491,0.9864090533221608,0.013590946677839026,low,White,Unprotected,bisg,0.8,,,,,,,28.0
<62,Unprotected,1.0,0.0,,,female,Protected,firstname_age,0.8,0.0009059650188824512,0.0012358876639895365,0.0007481578269888747,0.002156817371997318,0.003944019810127334,0.9910091523080146,0.008990847691985514,low,White,Unprotected,bisg,0.8,,,,,,,33.0
<62,Unprotected,0.996905976248038,0.003094023751961853,,,female,Protected,firstname_age,0.8,0.0036760158919101134,0.0013028444507564832,0.08783684106259733,0.00720108203780629,0.012544392052030395,0.8874388245048994,0.1125611754951006,low,White,Unprotected,bisg,0.8,,,,,,,52.0
<62,Unprotected,0.9973189778070941,0.0026810221929059303,,,female,Protected,firstname_age,0.8,0.006835466491942057,5.909451305042108e-05,0.002180212320785741,0.0006623040056209038,0.009962217895602893,0.980300704772998,0.019699295227002013,low,White,Unprotected,bisg,0.8,,,,,,,40.0
<62,Unprotected,0.0005344216100665598,0.9994655783899334,,,male,Unprotected,firstname_age,0.8,0.0009555251653701383,0.00426467384410768,0.5062028919664696,0.006638199621231079,0.027969504479570136,0.4539692049232513,0.5460307950767487,low,Unknown,Unknown,bisg,0.8,,,,,,,43.0
<62,Unprotected,0.9970810836676264,0.002918916332373653,,,female,Protected,firstname_age,0.8,0.00329024784791008,0.0007785100112544253,0.17136540635651645,0.006022575772085571,0.0231372285065167,0.7954060315057168,0.2045939684942832,low,Unknown,Unknown,bisg,0.8,,,,,,,25.0
62+,Protected,0.003975827657169774,0.9960241723428302,,,male,Unprotected,firstname_age,0.8,0.05966233550793695,0.00025635810331285115,0.008583796817436125,0.002250567688165301,0.00591003494519745,0.9233369069379512,0.07666309306204869,low,White,Unprotected,bisg,0.8,,,,,,,62.0
<62,Unprotected,0.0031105964625479645,0.996889403537452,,,male,Unprotected,firstname_age,0.8,0.00445134217452366,0.0028574423755595565,0.07466743084292762,0.026932083001492,0.013848956365457134,0.87724274524004,0.12275725475995995,low,White,Unprotected,bisg,0.8,,,,,,,60.0
62+,Protected,0.0036696242097372643,0.9963303757902628,,,male,Unprotected,firstname_age,0.8,0.0044608545393942075,0.0006902110775910187,0.12406269673932906,0.007001975946820714,0.011980299514984643,0.8518039621818804,0.14819603781811966,low,White,Unprotected,bisg,0.8,,,,,,,81.0
<62,Unprotected,0.004320455611682686,0.9956795443883172,,,male,Unprotected,firstname_age,0.8,0.003312455332438729,0.004682965150347414,0.011417667919145795,0.0017056731252530011,0.007637257613629453,0.9712439808591856,0.0287560191408144,low,White,Unprotected,bisg,0.8,,,,,,,37.0
<62,Unprotected,0.0034356211446865,0.9965643788553136,,,male,Unprotected,firstname_age,0.8,0.0,0.012170666481011307,0.1296362079637382,0.0018230848450211988,0.012667130180782256,0.843702910529447,0.15629708947055296,low,White,Unprotected,bisg,0.8,,,,,,,48.0
<62,Unprotected,0.9979661967879936,0.002033803212006452,,,female,Protected,firstname_age,0.8,0.00304437083482208,0.0022590619998747326,0.007033943859456101,0.0019494347886898566,0.008842606398805034,0.9768705821183522,0.023129417881647803,low,White,Unprotected,bisg,0.8,,,,,,,46.0
<62,Unprotected,0.9972118486393876,0.0027881513606125103,,,female,Protected,firstname_age,0.8,0.0007546014441491893,0.0006306629751348893,8.834670531005989e-05,0.0008981208447619055,0.004462615447357296,0.9931656525832866,0.00683434741671334,low,White,Unprotected,bisg,0.8,,,,,,,50.0
<62,Unprotected,0.4130824927285104,0.5869175072714896,,,Unknown,Unknown,firstname_age,0.8,0.0007138567717962024,0.00029438010940365336,0.0010606608597435669,0.0024649765366954045,0.004036179123644157,0.9914299465987172,0.008570053401282984,low,White,Unprotected,bisg,0.8,,,,,,,41.0
<62,Unprotected,0.0095930416879576,0.9904069583120424,,,male,Unprotected,firstname_age,0.8,0.0013379057905135456,0.0032651123869001405,0.009907169872986395,0.6805352792797601,0.005513964863708061,0.2994405678061317,0.7005594321938682,low,Unknown,Unknown,bisg,0.8,,,,,,,53.0
<62,Unprotected,0.9969125108278678,0.003087489172132162,,,female,Protected,firstname_age,0.8,0.002481775173095405,0.0,0.00033985090815621006,0.00040807956446557784,0.0,0.9967702943542828,0.003229705645717193,low,White,Unprotected,bisg,0.8,,,,,,,47.0
<62,Unprotected,0.997663270710342,0.002336729289657985,,,female,Protected,firstname_age,0.8,0.0033068372559169807,0.000523429990726934,0.14631512105026254,0.0059854721182911385,0.01695429773970735,0.8269148418450951,0.17308515815490494,low,White,Unprotected,bisg,0.8,,,,,,,43.0
<62,Unprotected,0.004165301771062382,0.9958346982289376,,,male,Unprotected,firstname_age,0.8,0.0,0.0011715800554848313,0.0,0.0010061707349692996,0.00273579627127605,0.9950864529382698,0.004913547061730182,low,White,Unprotected,bisg,0.8,,,,,,,53.0
<62,Unprotected,0.007936866519074083,0.9920631334809259,,,male,Unprotected,firstname_age,0.8,0.001225094327452246,0.0,0.00043365389393557356,0.00034913539095567884,0.0,0.9979921163876564,0.002007883612343498,low,White,Unprotected,bisg,0.8,,,,,,,60.0
<62,Unprotected,0.8514999614862743,0.1485000385137257,,,female,Protected,firstname_age,0.8,0.0015703179745065578,0.003719361504675685,0.011607710649527059,0.016457789692356443,0.00924119187570488,0.9574036283032294,0.04259637169677062,low,White,Unprotected,bisg,0.8,,,,,,,41.0
<62,Unprotected,0.004218807920068669,0.9957811920799312,,,male,Unprotected,firstname_age,0.8,0.0030317257529651072,0.0002724051869485813,0.2818543596209781,0.013688211199129188,0.01090461563899505,0.6902486826009839,0.309751317399016,low,Unknown,Unknown,bisg,0.8,,,,,,,45.0
<62,Unprotected,0.8536895674300254,0.14631043256997456,,,female,Protected,firstname_age,0.8,0.00468508809074385,0.0018332383892108008,0.3823293795554671,0.006887598391933631,0.0240902643817802,0.5801744311908645,0.41982556880913546,low,Unknown,Unknown,bisg,0.8,,,,,,,20.0
<62,Unprotected,0.002849159812679548,0.9971508401873204,,,male,Unprotected,firstname_age,0.8,0.0038211654983576213,0.009254832066344105,0.014058811810841204,0.0020817705505887614,0.010769219542900586,0.9600142005309678,0.039985799469032274,low,White,Unprotected,bisg,0.8,,,,,,,34.0
62+,Protected,0.9980371671890336,0.0019628328109665373,,,female,Protected,firstname_age,0.8,0.003858503075675448,0.002832725834027977,0.0002808571676861037,0.0012798143628774898,0.007085377512517779,0.9846627220472152,0.0153372779527848,low,White,Unprotected,bisg,0.8,,,,,,,71.0
<62,Unprotected,0.9971010181282584,0.002898981871741636,,,female,Protected,firstname_age,0.8,0.001381518257686173,0.00031983731439324647,6.287911758912147e-05,0.0013577988189518034,0.004182432499596767,0.9926955339917828,0.007304466008217113,low,White,Unprotected,bisg,0.8,,,,,,,42.0
<62,Unprotected,0.9967556637121912,0.0032443362878088705,,,female,Protected,firstname_age,0.8,,,,,,,0.0,low,Unknown,Unknown,bisg,0.8,,,,,,,36.0
<62,Unprotected,0.004561060038588129,0.995438939961412,,,male,Unprotected,firstname_age,0.8,0.003127289430458461,0.004174495632155578,0.00968763594739123,0.001619103790944406,0.007153576322989546,0.9742378988760608,0.025762101123939226,low,White,Unprotected,bisg,0.8,,,,,,,31.0
<62,Unprotected,0.003290257975299223,0.9967097420247008,,,male,Unprotected,firstname_age,0.8,0.02519509219359907,0.00595410978128128,0.038829030226448916,0.001970885264015393,0.0183539274437341,0.9096969550909212,0.09030304490907876,low,White,Unprotected,bisg,0.8,,,,,,,24.0
<62,Unprotected,0.0189753434880208,0.9810246565119792,,,male,Unprotected,firstname_age,0.8,0.01128761393669494,0.00020369508647037892,0.00021237701400498768,0.0007125643463997723,0.0056580017550840345,0.9819257478613458,0.018074252138654108,low,White,Unprotected,bisg,0.8,,,,,,,42.0
<62,Unprotected,0.004462673994143367,0.9955373260058566,,,male,Unprotected,firstname_age,0.8,0.0009337808879985256,0.003870333881238517,0.04733791068170667,0.8379594301828882,0.005693586806741409,0.10420495755942663,0.8957950424405733,high,Hispanic,Protected,bisg,0.8,,,,,,,19.0
<62,Unprotected,0.9977018558849859,0.002298144115014096,,,female,Protected,firstname_age,0.8,0.005092559463232775,0.004857621430380621,0.04482280741406573,0.002076365707975805,0.01920710377215693,0.923943542212188,0.07605645778781188,low,White,Unprotected,bisg,0.8,,,,,,,27.0
<62,Unprotected,0.9947089005395344,0.0052910994604654935,,,female,Protected,firstname_age,0.8,0.00438632882604494,0.00031629873368488743,0.0214676377089946,0.005489718147131597,0.008056893763931046,0.9602831228202128,0.039716877179787065,low,White,Unprotected,bisg,0.8,,,,,,,47.0
<62,Unprotected,0.007000616634625848,0.9929993833653742,,,male,Unprotected,firstname_age,0.8,0.0006185923388692633,0.007535113316144219,0.02910852542911993,0.0023557359684894803,0.009462162515328646,0.9509198704320484,0.04908012956795154,low,White,Unprotected,bisg,0.8,,,,,,,42.0
62+,Protected,0.005268790495005374,0.9947312095049946,,,male,Unprotected,firstname_age,0.8,0.003820655874113065,0.0007261690347871856,0.6467589037544711,0.022432306911123915,0.011270077250218408,0.3149918871752864,0.6850081128247136,low,Unknown,Unknown,bisg,0.8,,,,,,,67.0
<62,Unprotected,0.00478885502829778,0.9952111449717024,,,male,Unprotected,firstname_age,0.8,0.000649771256504277,0.0,0.00014819506986386133,0.0014016036981573919,0.0046105455597947285,0.9931898844156798,0.006810115584320259,low,White,Unprotected,bisg,0.8,,,,,,,21.0
<62,Unprotected,0.002966895690193629,0.9970331043098064,,,male,Unprotected,firstname_age,0.8,0.003455307416906095,0.019248635143525813,0.005864524800728093,0.8405473011476543,0.0037484024557464563,0.12713582903543927,0.8728641709645608,high,Hispanic,Protected,bisg,0.8,,,,,,,28.0
<62,Unprotected,0.977585328578706,0.022414671421293938,,,female,Protected,firstname_age,0.8,0.0,0.0,0.0,0.0002559218077268007,0.001570800485851475,0.9981732777064216,0.001826722293578276,low,White,Unprotected,bisg,0.8,,,,,,,23.0
<62,Unprotected,0.9980766889835666,0.0019233110164333536,,,female,Protected,firstname_age,0.8,0.0019873823702672684,0.0010472108724605199,0.003124178528969763,0.0028373849136922964,0.007814576177545308,0.9831892671370648,0.016810732862935156,low,White,Unprotected,bisg,0.8,,,,,,,43.0
<62,Unprotected,0.0033339039467427485,0.9966660960532572,,,male,Unprotected,firstname_age,0.8,0.002280792117538413,0.010742774099979731,0.00044358659944474237,0.0013255545955771556,0.006347746026123526,0.9788595465613364,0.021140453438663567,low,White,Unprotected,bisg,0.8,,,,,,,37.0
<62,Unprotected,0.08822983556660853,0.9117701644333916,,,male,Unprotected,firstname_age,0.8,0.0,0.0,0.2987473453135035,0.0,0.04129625037895146,0.6599564043075452,0.34004359569245496,low,Unknown,Unknown,bisg,0.8,,,,,,,43.0
<62,Unprotected,0.0027744843443240678,0.997225515655676,,,male,Unprotected,firstname_age,0.8,0.002542892778710244,0.006937467811120242,0.0083070033185599,0.008088515281956367,0.014138040943056719,0.9599860798665966,0.04001392013340347,low,White,Unprotected,bisg,0.8,,,,,,,29.0
<62,Unprotected,0.005131897366958873,0.9948681026330412,,,male,Unprotected,firstname_age,0.8,0.002903280625520845,0.004266200672914539,0.2090375526843028,0.013624480814352021,0.044719178115151866,0.7254493070877579,0.2745506929122421,low,Unknown,Unknown,bisg,0.8,,,,,,,25.0
<62,Unprotected,0.003999037825485598,0.9960009621745144,,,male,Unprotected,firstname_age,0.8,0.0007093853689532916,0.009567573707874463,0.0008635024332255966,0.0042440511758203535,0.009061228213192156,0.9755542591009341,0.02444574089906586,low,White,Unprotected,bisg,0.8,,,,,,,20.0
